AID,CID,InChIKey,SMILES,GeneID,Symbol,UniProtKB
1159518,95717,AIGDHFJPKNZUOR-UHFFFAOYSA-N,C1CC2=C(C=C3C=CC4=C5C3=C2C=CC5=CC=C4)C(=O)C1,4790,NFKB1,P19838
1224841,7586,WPYCRFCQABTEKC-UHFFFAOYSA-N,C1C(O1)COC2=CC(=CC=C2)OCC3CO3,2101,ESRRA,P11474
1259369,3714831,VLDHWMAJBNWALQ-UHFFFAOYSA-M,C1=CC=C2C(=C1)N=C(S2)[S-].[Na+],2737,GLI3,P10071
743077,3224,RDYMFSUJUZBWLH-UHFFFAOYSA-N,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,2099,ESR1,P03372
462271,289,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C1=CC=C(C(=C1)O)O,760,CA2,P00918
1671197,11509,PFCHFHIRKBAQGU-UHFFFAOYSA-N,CCCC(=O)CC,1557,CYP2C19,P33261
1224849,7020,JNELGWHKGNBSMD-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3O2,2101,ESRRA,P11474
1460,15910,CRQQGFGUEAVUIL-UHFFFAOYSA-N,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,4137,MAPT,P10636
318680,182210,ROGUIJKVZZROIQ-UHFFFAOYSA-N,COC1=C(C=CC(=C1)CC2COCC2CC3=CC(=C(C=C3)O)OC)O,6462,SHBG,P04278
1224843,8413,NUIURNJTPRWVAP-UHFFFAOYSA-N,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N,7253,TSHR,P16473
1159531,7276,AWMVMTVKBNGEAK-UHFFFAOYSA-N,C1C(O1)C2=CC=CC=C2,6256,RXRA,P19793
1259247,7017,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC=CC=C2O,367,AR,P10275
625253,8447,AFZSMODLJJCVPP-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,1813,DRD2,P14416
1114582,985,IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)O,5467,PPARD,Q03181
1159516,6001,ARSRBNBHOADGJU-UHFFFAOYSA-N,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,22926,ATF6,P18850
1224848,5993,BIWJNBZANLAXMG-UHFFFAOYSA-N,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,2101,ESRRA,P11474
1671201,8343,BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,1576,CYP3A4,P08684
651758,6478,VUNCWTMEJYMOOR-UHFFFAOYSA-N,C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,3576,CXCL8,P10145
1030,180933,UORKIKBNUWJNJF-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C(=O)C=CC4=O,216,ALDH1A1,P00352
1671197,9154,GVEPBJHOBDJJJI-UHFFFAOYSA-N,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,1557,CYP2C19,P33261
32248,2879,IWDCLRJOBJJRNH-UHFFFAOYSA-N,CC1=CC=C(C=C1)O,43,ACHE,P22303
