PubchemCTD,CID,CanonicalSMILES,InChIKey
C522973,9884685,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,TUVCWJQQGGETHL-UHFFFAOYSA-N
C025703,92135919,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCNCCCCN)O,QYOAUOAXCQAEMW-DDZPZTJXSA-N
C526438,9804302,CC12CCC3C(C1CCC2OS(=O)(=O)N)CCC4=CC(=C(C=C34)OC)OS(=O)(=O)N,AQSNIXKAKUZPSI-SSTWWWIQSA-N
C089730,77999,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,YASAKCUCGLMORW-UHFFFAOYSA-N
C105934,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,RZEKVGVHFLEQIL-UHFFFAOYSA-N
D007213,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CGIGDMFJXJATDK-UHFFFAOYSA-N
D001205,54670067,C(C(C1C(=C(C(=O)O1)O)O)O)O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
D003035,104730,[Co],GUTLYIVDDKVIGB-UHFFFAOYSA-N
C093973,4713,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2,QFWCYNPOPKQOKV-UHFFFAOYSA-N
C085911,3973,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,CZQHHVNHHHRRDU-UHFFFAOYSA-N
D014212,444795,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-YCNIQYBTSA-N
D013749,15625,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,HGUFODBRKLSHSI-UHFFFAOYSA-N
D010100,977,O=O,MYMOFIZGZYHOMD-UHFFFAOYSA-N
C018021,3032536,[Cl-].[Cl-].[Co+2],GVPFVAHMJGGAJG-UHFFFAOYSA-L
D000082,1983,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N
D000431,702,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
D008628,23931,[Hg],QSHDDOUJBYECFT-UHFFFAOYSA-N
C532162,17755052,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,LHNIIDJUOCFXAP-UHFFFAOYSA-N
C400082,387447,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N
C027576,5283344,CCCCCC(C=CC=O)O,JVJFIQYAHPMBBX-FNORWQNLSA-N
D002084,31404,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,NLZUEZXRPGMBCV-UHFFFAOYSA-N
C006780,6623,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,IISBACLAFKSPIT-UHFFFAOYSA-N
D005485,3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,MKXKFYHWDHIYRV-UHFFFAOYSA-N
C017180,40585,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,OWZREIFADZCYQD-NSHGMRRFSA-N
D001564,2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,FMMWHPNWAFZXNH-UHFFFAOYSA-N
C081643,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,HTQMVQVXFRQIKW-UHFFFAOYSA-N
C081309,3749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,YOSHYTLCDANDAN-UHFFFAOYSA-N
D010656,6041,CNCC(C1=CC(=CC=C1)O)O,SONNWYBIRXJNDC-VIFPVBQESA-N
D007854,5352425,[Pb],WABPQHHGFIMREM-UHFFFAOYSA-N
D008094,3028194,[Li],WHXSMMKQMYFTQS-UHFFFAOYSA-N
D003300,23978,[Cu],RYGMFSIKBFXOCR-UHFFFAOYSA-N
D012969,5235,[F-].[Na+],PUZPDOWCWNUUKD-UHFFFAOYSA-M
D015742,4943,CC(C)C1=C(C(=CC=C1)C(C)C)O,OLBCVFGFOZPWHH-UHFFFAOYSA-N
C078903,5288149,CCC(CC)(C=CC=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)O,LVLLALCJVJNGQQ-SEODYNFXSA-N
C002741,6046,C1COCCN1N=O,ZKXDGKXYMTYWTB-UHFFFAOYSA-N
D016604,186907,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N
D001151,5359596,[As],RQNWIZPPADIBDY-UHFFFAOYSA-N
D002083,24667,CC(C)(C)C1=C(C=CC(=C1)O)OC.CC(C)(C)C1=C(C=CC(=C1)OC)O,CZBZUDVBLSSABA-UHFFFAOYSA-N
C030123,323,C1=CC=C2C(=C1)C=CC(=O)O2,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N
D008622,441373,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=C(C(=C(C=C24)Br)[O-])[Hg])Br)C(=O)[O-].O.[Na+].[Na+],KQSRXDXJGUJRKE-UHFFFAOYSA-L
C053526,3552,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N(Cl)Cl,XPDVQPODLRGWPL-UHFFFAOYSA-N
C100058,1183,COC1=C(C=CC(=C1)C=O)O,MWOOGOJBHIARFG-UHFFFAOYSA-N
D005665,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,ZZUFCTLCJUWOSV-UHFFFAOYSA-N
C052342,5284627,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,KJADKKWYZYXHBB-XBWDGYHZSA-N
D012439,5143,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,CVHZOJJKTDOEJC-UHFFFAOYSA-N
D008704,4100,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,FLOSMHQXBMRNHR-UHFFFAOYSA-N
C035407,31405,CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,DKCPKDPYUFEZCP-UHFFFAOYSA-N
D006139,460,COC1=CC=CC=C1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N
C036531,11335,CC1=C(C(=CC=C1)C)O,NXXYKOUNUYWIHA-UHFFFAOYSA-N
D013438,402,S,RWSOTUBLDIXVET-UHFFFAOYSA-N
C412043,5287541,C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N,DSLPMJSGSBLWRE-UHFFFAOYSA-N
C009474,72139,C1=CC2=C(C=C1O)OC(=O)S2,SLYPOVJCSQHITR-UHFFFAOYSA-N
D001574,18794,C1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N,PWDGTQXZLNDOKS-UHFFFAOYSA-N
D005016,3295,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,OUZWUKMCLIBBOG-UHFFFAOYSA-N
C439829,216468,C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl,SETFNECMODOHTO-UHFFFAOYSA-N
D004005,3038,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,GJQPMPFPNINLKP-UHFFFAOYSA-N
C111827,68844,CCNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,HCRKCZRJWPKOAR-JTQLQIEISA-N
C062765,6918132,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl,OSRUSFPMRGDLAG-QMGYSKNISA-N
C003359,66895,C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)S(=O)(=O)N,ABBQGOCHXSPKHJ-UHFFFAOYSA-N
C406224,119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,LNPDTQAFDNKSHK-UHFFFAOYSA-N
C022189,5734,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N
D001959,84979,[O-]Br(=O)=O,SXDBWCPKPHAZSM-UHFFFAOYSA-M
D007452,84927,[O-]I(=O)=O,ICIWUVCWSCSTAQ-UHFFFAOYSA-M
C037192,516896,[O-]I(=O)(=O)=O.[K+],FJVZDOGVDJCCCR-UHFFFAOYSA-M
C025349,61639,O.O.O.O.O.O.O.O.O.[O-][Si](=O)[O-].[Na+].[Na+],PHIQPXBZDGYJOG-UHFFFAOYSA-N
D002254,19660,C(=O)([O-])[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-L
C022842,19654,OCl(=O)=O,XTEGARKTQYYJKE-UHFFFAOYSA-N
D017942,944,[N+](=O)(O)[O-],GRYLNZFGIOXLOG-UHFFFAOYSA-N
C045951,24465,[O-][W](=O)(=O)[O-],PBYZMCDFOULPGH-UHFFFAOYSA-N
C494474,123351,[O-]Cl(=O)(=O)=O,VLTRZXGMWDSKGL-UHFFFAOYSA-M
C044659,24621,[O-][Mo](=O)(=O)[O-],MEFBJEMVZONFCJ-UHFFFAOYSA-N
D013431,1117,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L
D001639,769,C(=O)(O)[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-M
C026845,93577,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O,YUDPTGPSBJVHCN-DZQJYWQESA-N
C008512,2733782,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O,YUDPTGPSBJVHCN-VMMWWAARSA-N
C016595,191826,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(CO3)O)O)O,JWIYLOHVJDJZOQ-QZKOUSHUSA-N
D000086,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N
C103303,449171,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-ZVCIMWCZSA-N
C032036,7961,C1=CC=C(C=C1)Br,QARVLSVVCXYDNA-UHFFFAOYSA-N
D011441,657298,CCCC1=CC(=O)NC(=S)N1,KNAHARQHSZJURB-UHFFFAOYSA-N
D013469,5355,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N
C008642,13243,CC(=O)OC1=CC=C(C=C1)[N+](=O)[O-],QAUUDNIGJSLPSX-UHFFFAOYSA-N
