CanonicalSMILES,InChIKey,UniProtKB
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,P05181
C(Cl)(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N,P05181
Cl[Gd](Cl)Cl,MEANOSLIBWSCIT-UHFFFAOYSA-K,P05181
C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,CQOVPNPJLQNMDC-ZETCQYMHSA-N,P05181
C(Cl)Cl,YMWUJEATGCHHMB-UHFFFAOYSA-N,P05181
CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCC=CC4=CC=C(C=C4)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O,KKCGJZXNCXWIHC-DSLUARRUSA-N,P05181
C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)O,RNKMOGIPOMVCHO-SJMVAQJGSA-N,P05181
C1=CC(=C(C=C1C(=O)O)O)O,YQUVCSBJEUQKSH-UHFFFAOYSA-N,P05181
CC1=CC=C(C=C1)S(=O)(=O)NC(CCCCN)C(=O)CCl,RDFCSSHDJSZMTQ-UHFFFAOYSA-N,P05181
C1=CC(=C(C=C1O)O)O,GGNQRNBDZQJCCN-UHFFFAOYSA-N,P05181
CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C,GDBQQVLCIARPGH-ULQDDVLXSA-N,P05181
C=CCC1=CC2=C(C=C1)OCO2,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,P05181
CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,P05181
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,VNONINPVFQTJOC-ZGXDEBHDSA-N,P05181
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,IKGXIBQEEMLURG-NVPNHPEKSA-N,P05181
C1C(O1)C2CO2,ZFIVKAOQEXOYFY-UHFFFAOYSA-N,P05181
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,RYYVLZVUVIJVGH-UHFFFAOYSA-N,P05181
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,KNHUKKLJHYUCFP-UHFFFAOYSA-N,P05181
C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O,SWUARLUWKZWEBQ-VQHVLOKHSA-N,P05181
C(CS(=O)(=O)O)N,XOAAWQZATWQOTB-UHFFFAOYSA-N,P05181
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,QKICWELGRMTQCR-UHFFFAOYSA-N,P05181
CNNC,DIIIISSCIXVANO-UHFFFAOYSA-N,P05181
COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,AIONOLUJZLIMTK-AWEZNQCLSA-N,P05181
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,GZSOSUNBTXMUFQ-YFAPSIMESA-N,P05181
COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,RRKTZKIUPZVBMF-IBTVXLQLSA-N,P05181
