PubchemCTD,CID,CanonicalSMILES,InChIKey
D001710,171548,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,YBJHBAHKTGYVGT-ZKWXMUAHSA-N
D004492,6049,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N
D002725,6212,C(Cl)(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N
C029297,6366,C=C(Cl)Cl,LGXVIGDEPROXKC-UHFFFAOYSA-N
C038958,61486,Cl[Gd](Cl)Cl,MEANOSLIBWSCIT-UHFFFAOYSA-K
C014357,18299,C1=CC=C2C(=C1)C3=CC(=O)C4=CC=CC5=C4C3=C(C2=O)C=C5,HSJQJGAVYCLWJA-UHFFFAOYSA-N
C036116,104774,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCNCC)I,VXOKDLACQICQFA-UHFFFAOYSA-N
C108036,116545,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl,KGVXVPRLBMWZLG-UHFFFAOYSA-N
C405442,9842809,CC12CCC3C(C1CCC2=O)CCC4=CC(=C(C=C34)OC)OS(=O)(=O)N,BTQHAWWINOTNQQ-QPWUGHHJSA-N
C041648,4823,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,GLBJJMFZWDBELO-UHFFFAOYSA-N
C020365,169870,CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C,DOMWKUIIPQCAJU-LJHIYBGHSA-N
D011398,4927,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,PWWVAXIEGOYWEE-UHFFFAOYSA-N
C066668,123964,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC(=C3O2)CC(=O)O)C,XGOYIMQSIKSOBS-UHFFFAOYSA-N
C472511,185792,C[As](C)O,VDEGQTCMQUFPFH-UHFFFAOYSA-N
C059006,68077,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,ULSUXBXHSYSGDT-UHFFFAOYSA-N
D002976,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,STJMRWALKKWQGH-UHFFFAOYSA-N
C050426,449069,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,ZRJBHWIHUMBLCN-ZUZCIYMTSA-N
C104820,1433,CC(=NCC1=CC=CC(=C1)CN)N,RODUKNYOEVZQPR-UHFFFAOYSA-N
C047368,5281654,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IZQSVPBOUDKVDZ-UHFFFAOYSA-N
C005948,5281224,CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C,MQZIGYBFDRPAKN-UWFIBFSHSA-N
D017963,447043,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,MQTOSJVFKKJCRP-BICOPXKESA-N
D013241,5280389,COC1=C2C(=C3C4C=COC4OC3=C1)OC5=CC=CC(=C5C2=O)O,UTSVPXMQSFGQTM-DCXZOGHSSA-N
C042734,6436173,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,NZCRJKRKKOLAOJ-XRCRFVBUSA-N
D001664,5280353,CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O,RCNSAJSGRJSBKK-NSQVQWHSSA-N
D002336,439224,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,CQOVPNPJLQNMDC-ZETCQYMHSA-N
D008752,6344,C(Cl)Cl,YMWUJEATGCHHMB-UHFFFAOYSA-N
D003374,5458823,CC1=CC(OC1=O)CC(=CCOC2=CC3=C(C=C2)C=CC(=O)O3)C,CFNMUZCFSDMZPQ-GHXNOFRVSA-N
C474021,3707,C1=CC=C2C(=C1)C(=C(N2)O)C3=C(C4=CC=CC=C4N3)N=O,FQCPPVRJPILDIK-UHFFFAOYSA-N
C011164,5281600,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O,YUSWMAULDXZHPY-UHFFFAOYSA-N
C547390,11629212,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCC=CC4=CC=C(C=C4)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O,KKCGJZXNCXWIHC-DSLUARRUSA-N
