CanonicalSMILES,InChIKey,UniProtKB
CC(=O)C1=C(C=C(C=C1)OC)O,UILPJVPSNHJFIK-UHFFFAOYSA-N,P21397
CC1=NCCC2=C1NC3=C2C=CC(=C3)OC,RERZNCLIYCABFS-UHFFFAOYSA-N,P21397
CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Al+3],LIRCFGBNQPWVRY-UHFFFAOYSA-K,P21397
C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,MXXWOMGUGJBKIW-YPCIICBESA-N,P21397
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,P21397
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-CXSFZGCWSA-N,P21397
[O-][As]=O.[Na+],PTLRDCMBXHILCL-UHFFFAOYSA-M,P21397
CC(=CC(=O)NC)OP(=O)(OC)OC,KRTSDMXIXPKRQR-AATRIKPKSA-N,P21397
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,KAATUXNTWXVJKI-UHFFFAOYSA-N,P21397
CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,NYPJDWWKZLNGGM-UHFFFAOYSA-N,P21397
C1=CC(=C(C=C1C(CN)O)O)O,SFLSHLFXELFNJZ-QMMMGPOBSA-N,P21397
CNCC(C1=CC(=CC=C1)O)O,SONNWYBIRXJNDC-VIFPVBQESA-N,P21397
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,ZPUCINDJVBIVPJ-LJISPDSOSA-N,P21397
CC(CC1=CC=CC=C1)NC,MYWUZJCMWCOHBA-VIFPVBQESA-N,P21397
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,RAPZEAPATHNIPO-UHFFFAOYSA-N,P21397
[F-].[Na+],PUZPDOWCWNUUKD-UHFFFAOYSA-M,P21397
CC1(CCC2C1(C=CC3=C4CCC(=O)C=C4CCC23)C)O,CCCIJQPRIXGQOE-XWSJACJDSA-N,P21397
[As],RQNWIZPPADIBDY-UHFFFAOYSA-N,P21397
CC(=O)[O-].[NH4+],USFZMSVCRYTOJT-UHFFFAOYSA-N,P21397
CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,P21397
CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,VGKDLMBJGBXTGI-SJCJKPOMSA-N,P21397
CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,BXNJHAXVSOCGBA-UHFFFAOYSA-N,P21397
C1=CC(=C(C(=C1)O)O)N,MGBKJKDRMRAZKC-UHFFFAOYSA-N,P21397
COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],RLBIQVVOMOPOHC-UHFFFAOYSA-N,P21397
C1=CC(=CC=C1CCN)O,DZGWFCGJZKJUFP-UHFFFAOYSA-N,P21397
C1=CC2=C(C=C1O)C(=CN2)CCN,QZAYGJVTTNCVMB-UHFFFAOYSA-N,P21397
CC1=C2C(=C(N=C1N)C)C3=CC=CC=C3N2,LVTKHGUGBGNBPL-UHFFFAOYSA-N,P21397
CC1=C2C3=CC=CC=C3NC2=CC(=N1)N,LKKMLIBUAXYLOY-UHFFFAOYSA-N,P21397
CCN(C)C(=O)OC1=CC2=C(CCC2NCC#C)C=C1,LHXOCOHMBFOVJS-OAHLLOKOSA-N,P21397
COCC1C2CCC3=C(N2C(=O)O1)C=CC(=C3)OCCCC(F)(F)F,JRCKGKSHLTZMIE-UHFFFAOYSA-N,P21397
C1=CC=C2C(=C1)C(=O)C(=O)N2,JXDYKVIHCLTXOP-UHFFFAOYSA-N,P21397
CNN,HDZGCSFEDULWCS-UHFFFAOYSA-N,P21397
CN1C2=C(C=C(C=C2)OCCCC3CCN(CC3)CC4=CC=CC=C4)C=C1CN(C)CC#C,ADCBAOTWERXLAP-UHFFFAOYSA-N,P21397
CCN(CC)C(=O)C(=C(C)OP(=O)(OC)OC)Cl,RGCLLPNLLBQHPF-HJWRWDBZSA-N,P21397
CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C,BTFHLQRNAMSNLC-UHFFFAOYSA-N,P21397
CN(CC#C)CC1=CC=CC=C1,DPWPWRLQFGFJFI-UHFFFAOYSA-N,P21397
CC(C(C1=CC=CC=C1)O)N,DLNKOYKMWOXYQA-CBAPKCEASA-N,P21397
C1=CC2=C(C=C1OCC(F)(F)F)OC3=C(S2(=O)=O)C=CC(=C3)F,PDIMOTRDGUQMNY-UHFFFAOYSA-N,P21397
COCC1CN(C(=O)O1)C2=CC=C(C=C2)OCCC(C(F)(F)F)O,IALVDLPLCLFBCF-CHWSQXEVSA-N,P21397
COC1=CC(=C2C(=C1)C=C(O2)C3CCNCC3)Br,WZXHSWVDAYOFPE-UHFFFAOYSA-N,P21397
COCC1CN(C(=O)O1)C2=CC=C(C=C2)OCC3=CC(=CC=C3)C#N,MVVJINIUPYKZHR-UHFFFAOYSA-N,P21397
